DID,Name,Designation,Specialities,Branch
PDC-384,PROFESSOR. DR. KHAIRUN NAHAR,"MBBS(Dhaka),FCPS(Gynaecology),Professor,Department Of Gynaecology,Sir Salimullah Medical College/Mitford Hospital,Dhaka",Gynaecology,Shyamoli
PDC-385,PROFESSOR. DR. MENOKA FERDOUS,"MBBS,(DMC),BCS(Helth),MCPS,MS(Gynaecology & Obs),DMUD Shaheed Suhrawardy Medical College & Hospital,Dhaka",Gynaecology,Shyamoli
PDC-386,DR.NIGHAT SULTANA (ANIA),"MBBS,BCS(Helth),FCPS(Gynaecology & Obs),Laparoscopy Surgeon,BSMMU(PG Hospital),Dhaka",Gynaecology,Shyamoli
PDC-387,DR. NAZIA SULTANA DAISY,"MBBS(Dhaka),BCS(Helth),FCPS(Gynaecology)Consultants,Department Of (Gynaec & Obs),Resident Surgeon,Shaheed Suhrawardy Medical College & Hospital,Dhaka-1207",Gynaecology,Shyamoli
PDC-388,DR. ROWSHON JAHAN (ROZY),"MBBS.DGO(London),Consultant,(Gynaecology & Surgeon) Holy Family Red Crescent Hospital,Dhaka",Gynaecology,Shyamoli
PDC-389,DR. SUSHMITA BARDHAN,"MBBS, FCPS (Gynae & Obs), FCPS (Gynaecological Oncology), Specialist in gynae cancer, Consultant Depertment Of Gynaecology,National Institute of Cancer Research & Hospital, Mohakhali, Dhaka",Gynaecology,Shyamoli
PDC-390,DR. MERINA JAHAN,"MBBS,FCPS(Gynaecology & Obs),BCS(Helth),Consultant,National Cancer Research Institute Hospital,Dhaka",Gynaecology,Shyamoli
PDC-391,PROF. DR. ZULFE ARA HAIDER,,Gynaecology,English road
PDC-392,PROF. DR. NILUFAR NASRIN AVA,,Gynaecology,English road
PDC-393,ASSO. PROF. DR. REFAT ARA MAHFUZ,,Gynaecology,English road
PDC-394,DR. MINA DEBI,,Gynaecology,English road
PDC-395,ASST.PROF. DR. MOUSHUMI SAHA,,Gynaecology,English road
PDC-396,ASST. PROF. DR. PAPIYA SULTANA,,Gynaecology,English road
PDC-397,DR. SARIA SARMIN,,Gynaecology,English road
PDC-398,DR. SABIHA YEASMIN SHANTA,,Gynaecology,English road
PDC-399,DR. NADIRA HAQUE,"MBBS(Dhaka), BCS(Health), MCPS(Gynae), DGO,MS(Gynae), Gynae & Obst. Specialist & Surgeon Sr. Consultant Head of Department (Gynae & Obs), Kuwait-Bangladesh Fraindship Govt.Hospital Uttara,Dhaka. BMDC Reg. No. A-32140",Gynaecology,Gazipur
PDC-400,PROF. DR. PARUL JAHAN,,Gynaecology,Uttara
PDC-401,PROF. DR. JESMIN AKTER,,Gynaecology,Uttara
PDC-402,PROF. DR. SHAMIMA HAQUE CHOWDHURY ANNIE,Professor,Gynaecology,Uttara
PDC-403,PROF. DR. AKHTARUNNESA PARVEEN,,Gynaecology,Uttara
PDC-404,PROF. DR. LATIFA SAMSUDDIN,,Gynaecology,Uttara
PDC-405,ASSO. PROF. DR. SHILPI SAHA,Associate Professor,Gynaecology,Uttara
PDC-406,ASST. PROF. DR. NAFISA AMIN KHAN,,Gynaecology,Uttara
PDC-407,DR. PARVEEN SULTANA,,Gynaecology,Uttara
PDC-408,ASST. PROF. DR. SHAMSOON NAHAR,,Gynaecology,Uttara
PDC-409,ASST.PROF./CONSULTANT DR. FARHANA KALAM (OVI),,Gynaecology,Uttara
PDC-410,PROF. DR.MALA BANIK,"MBBS,FCPS,MS(Gyne)",Gynaecology,English road
PDC-411,DR.ISMOT ARA,MBBS.DGO(Gaynae),Gynaecology,English road
PDC-412,ASST. PROF. DR. PARUL AKTER,"MBBS,FCPS. Sir Salimullah Medical College(Midford Hospital)",Gynaecology,Narayangonj
PDC-413,DR. ALHAZZ KAMRUNNAHAR,"MBBS(DHAKA),DGO, MS(GYNAE). Narayanganj 300 Bed Hospital.",Gynaecology,Narayangonj
PDC-414,PROF. DR. K.N. NAHAR,"MBBS,DGO,MS(GYN).(Retd). BSMMU-Bangabandhu Sheikh Mujib Medical University(Ex. PG Hospital)",Gynaecology,Narayangonj
PDC-415,DR. MD. ZAHANGIR ALAM,"MBBS,DGO,FCPS. Narayanganj 300 Bed Hospital",Gynaecology,Narayangonj
PDC-416,DR. SALEHA AKTER,"MBBS,CCD,DGO,FCGP. DIABETIC HOSPITAL,NARAYANGANJ",Gynaecology,Narayangonj
PDC-417,DR. MASUDA SULTANA,"MBBS(DHAKA),BCS(HEALTH),FCPS(OBS & GYN).Narayanganj 300 Bed Hospital",Gynaecology,Narayangonj
PDC-418,DR. RAYHANA AKTAR,"MBBS,BCS(HEALTH),FCPS(GYN & OBS)",Gynaecology,Narayangonj
PDC-419,DR. SAMIRA CHOWDHURY,"MBBS,MCPS,DGO(OBS & GYN) ICMH. Institute of Child and Mother Health(ICMH)",Gynaecology,Narayangonj
PDC-420,ASST. PROF. DR. BENOZIR HAQUE PANNA,"MBBS,DGO(BSMMU),FCPS(OBS & GYN) F.MAS(India) Specialist(OBS & GYNAE) & Laparoscopic Surgeon. Current Posting:-Popular Medical College Hospital. Dhanmondi Dhaka.",Gynaecology,Narayangonj
PDC-421,DR. NUR-E-NAZMA LIMA,"MBBS(DHAKA)MS, (GYN & OBS).Institute of Child and Mother Health (ICMH), Matuail, Dhaka.",Gynaecology,Narayangonj
PDC-422,DR. DIPANNITA DHAR,"MBBS,BCS,MCPS,FCPS(OBS & GYN) KHANPUR 300 BEDED HOSPITAL,NARAYANGANJ",Gynaecology,Narayangonj
PDC-423,DR. KUMAR TANSEN,"MBBS,BCS(Health), FCPS((GYN & OBS). Current Posting:-Department of Infertility (Dhaka Medical College Hospital)",Gynaecology,Narayangonj
PDC-424,ASSOC. PROF. DR. SULTANA RAZIA,,Gynaecology,Bogura
PDC-425,ASSTT. PROF. DR. MAFRUHA JAHAN,,Gynaecology,Bogura
PDC-426,ASSTT. PROF. DR. RUNA PARVIN,,Gynaecology,Bogura
PDC-427,ASSTT. PROF.DR. TOWHIDA SULTANA (SHIMA),,Gynaecology,Bogura
PDC-428,DR. SHARMIN AKHTER (SHAMPA),,Gynaecology,Bogura
PDC-429,DR. SHARMIN HOSSAIN (MOMI),,Gynaecology,Bogura
PDC-430,DR. FAHMIDA SHERIN NILA,,Gynaecology,Bogura
PDC-431,DR. MOST. SAHIN NOWROZY,,Gynaecology,Bogura
PDC-432,PROF. DR. MONNUJAN BEGUM,,Gynaecology,Mirpur
PDC-433,PROF. DR. SHAMSUN NAHAR,,Gynaecology,Mirpur
PDC-434,ASSO. PROF. DR. MAHFUZ ARA BEGUM,,Gynaecology,Mirpur
PDC-435,ASSO. PROF. DR. PARVEEN AKHTER SAMSUN NAHAR (SUROVI),,Gynaecology,Mirpur
PDC-436,ASST. PROF. DR. DALIA RAHMAN,,Gynaecology,Mirpur
PDC-437,ASST. PROF. DR. KHODEZA KHATUN MONI,,Gynaecology,Mirpur
PDC-438,DR. MONOWARA BEGUM,,Gynaecology,Mirpur
PDC-439,DR. WAHIDA RAHMAN,,Gynaecology,Mirpur
PDC-440,PROF. DR. NEAZ T. PARVEEN,,Gynaecology,Mirpur
PDC-441,DR. AFROZA SULTANA,,Gynaecology,Mirpur
PDC-442,ASSO. PROF. DR. JANNAT ARA FERDOUS,,Gynaecology,Mirpur
PDC-443,ASSOCIATE PRO..DR. MAHJABIN NAJ,,Gynaecology,Badda
PDC-444,PROF. DR. AZIZA BEGUM LUCY,,Gynaecology,Rangpur (U-2)
PDC-445,DR. RAWSHAN ARA BEGUM,,Gynaecology,Rangpur (U-2)
PDC-446,DR. NAZMA PARVIN,,Gynaecology,Rangpur (U-2)
PDC-447,PROF. DR. SHAHI FARZANA TASMIN (EVENING),Professor,Gynaecology,Rangpur
PDC-448,DR. KISMOT ARA SHEIKH MALA,Consultant,Gynaecology,Rangpur
PDC-449,ASST. PROF. DR. IFFAT ARA TULIP,Assistant Professor,Gynaecology,Rangpur
PDC-450,DR. NASRIN SULTANA BOBY,Junior Consultant,Gynaecology,Rangpur
PDC-451,PROF. DR. AZIZA BEGUM LUCY,Professor,Gynaecology,Rangpur
PDC-452,ASSO. PROF. DR. RAWSHAN ARA BEGUM (BITU),Associate Professor,Gynaecology,Rangpur
PDC-453,DR. NAZMA PARVIN,,Gynaecology,Rangpur
PDC-454,PROF. DR. KANIZ FATEMA,MBBS.DGO,Gynaecology,English road
PDC-455,PROF. DR.RUMI FARHAD ARA,,Gynaecology,Uttara
PDC-456,DR. KHALEDA AKTAR KHANAM,"MBBS; BCS (Health); FCPS (Gynae & Obs); Consaltant (Gynae), MMED,DMU (ULTRA), Noakhali.",Gynaecology,Noakhali
PDC-457,DR. RAKHI DEBI(EVENING),"MBBS, FCPS (Gynae & Obs), Consultant, Department of Gynae, Popular Diagnostic Centre , Ltd",Gynaecology,Rajshahi
PDC-458,DR. RAKHI DEBI(MORNING),"MBBS, FCPS (Gynae & Obs) , Consultant, Department of Gynae, Popular Diagnostic Cebtre , Ltd",Gynaecology,Rajshahi
PDC-459,ASST..PROF.DR.SALMA NAHAR,,Gynaecology,Uttara
PDC-460,PROF. DR. MAHBUBA AKTAR,"MBBS,FCPS. US-Bangla Medical College & Hospital",Gynaecology,Narayangonj
PDC-461,DR. UMME SALMA HOSEN (MORNING),"MBBS, DGO.Institute of Child and Mother Health (ICMH), Matuail, Dhaka.",Gynaecology,Narayangonj
PDC-462,PROF. DR. JAHANARA BEGUM (MUNNI),Professor,Gynaecology,Dinajpur
PDC-463,ASSOC. PROF. DR. ISHRAT SHARMIN,Assistant Professor,Gynaecology,Dinajpur
PDC-464,DR. SIDDIKA SULTANA (QUEEN),,Gynaecology,Dinajpur
PDC-465,DR. UMME SALMA HOSSAIN (EVENING),"MBBS, DGO.Institute of Child and Mother Health (ICMH), Matuail, Dhaka.",Gynaecology,Narayangonj
PDC-466,DR.FARJANA NAJNIN (RIPA),"MBBS, (Raj) FCPS, (Obs & Gynae), Consultant ,Department Of Gayne ,Rajshahi Medical collage & Hospital ,Rajshahi",Gynaecology,Rajshahi
PDC-467,DR. SUROVI SULTANA,,Gynaecology,Bogura
PDC-468,DR. RUBINA BARI,"MBBS, MCPS, FCPS. Narayanganj 300 Bed Hospital",Gynaecology,Narayangonj
PDC-469,ASSOC.PROF.DR.AKHTARI HOSSAIN CHOWDHURY (NIPA),,Gynaecology,Bogura
PDC-470,ASST. PROF. DR. SALMA AKHTER WALIDA,"MBBS,BCS,FCPS (National Institute of Cancer Research & Hospital)",Gynaecology,Shantinagar
PDC-471,ASST.PROF. DR. LIPIKA GHOSH,,Gynaecology,Savar
PDC-472,PROF. DR. TOUHIDA AHSAN,"MBBS, FCPS, MS(Obs & Gynae), Infertility Specialist, Laparoscopic & Hysteroscopic surgeon EX-Prof. IBN SINA Medical College & Hospital. Dhaka. BMDC. Reg: A-13202",Gynaecology,Gazipur
PDC-473,ASST. PROF. DR. ISHRAT JAHAN,"MBBS,FCPS,MS (Salimullah,Mitford Hospital)",Gynaecology,Shantinagar
PDC-474,DR. MST. FERDEWSI BEGUM,"MBBS, BCS(Health), FCPS(Gynea&Obs), Consultant, Mymensingh Medical College Hospital",Gynaecology,Mymensingh
PDC-475,DR. SHOHELA PARVEEN,,Gynaecology,Mirpur
PDC-476,DR. SADIA AFRIN MUNMUN,,Gynaecology,Gazipur
PDC-477,DR. SWAPNA RANI SARKAR,,Gynaecology,Gazipur
PDC-478,DR. NISHAT ANAM BORNA,"MBBS, BCS (Health), MCPS (Gynae) , FCPS (Obs & Gynae), Consultant, Gynae & Obs, Rajshahi Medical College & Hospital",", Gynaecology",Rajshahi
PDC-479,DR. NASIMA SULTANA,,Gynaecology,Badda
PDC-480,DR. UMA NAG (SHAMPA),,Gynaecology,Barisal
PDC-481,DR. SIMA BASAK,,Gynaecology,Dinajpur
PDC-482,ASSO. PROF. DR. LAILO NAHAR,"MBBS (Dhaka); DGO (DEU); MCPS (Gynaecology); FCPS (Gynaecology); Gynaecologist & Surgeon, Asso. Prof. Comilla Medical College Hospital, Comilla.",Gynaecology,Noakhali
PDC-483,ASSO. PROF. DR. TAHERA BEGUM,,Gynaecology,Chattogram
PDC-484,PROF. DR. MAFRUHA KHANAM PORAG,,Gynaecology,Chattogram
PDC-485,ASST. PROF. DR. FAHMIDA RASHID (SWATI),,Gynaecology,Chattogram
PDC-486,DR. MUNJURA CHOWDHURY,,Gynaecology,Chattogram
PDC-487,DR. NAZ SHOHANI SULTANA,,Gynaecology,Chattogram
PDC-488,DR. SHAMIMA AKHTER,,Gynaecology,Chattogram
PDC-489,DR. SHAHANA YESMEN,,Gynaecology,Chattogram
PDC-490,DR. TASLIM CHOWDHURY,,Gynaecology,Chattogram
PDC-491,DR. SATHY KHANAM,"MBBS, MS",Gynaecology,Narayangonj
PDC-492,DR. MAHMUDA BEGUM,Senior Consultant,Gynaecology,Uttara
PDC-493,DR. SOME ROSE PERVIN (RINKU),"MBBS, BCS (Health), DGO (BSMMU) FCPS (Obs&Gynae), Consultant, Laparoscopic & Hysteroscopic Surgeon Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-494,DR. KHADIJA MANNAN,,Gynaecology,Mirpur
PDC-495,DR. SADIA AMIN,,Gynaecology,Barisal
PDC-496,DR. ISMAT ARA JEMY,"MBBS, BCS (Health), FCPS (Obs&Gynae), Consultant, Gynae & Obs, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-497,DR. M.K. SHELLY,"MBBS, DGO, MCPS",Gynaecology,English road
PDC-498,DR. SANJIDA PARVEEN,,Gynaecology,Dhanmondi
PDC-499,ASST. PROF. DR. SABRIN FORHAD,,Gynaecology,Uttara
PDC-500,DR. DINA LAYLA HOSSAIN,,Gynaecology,Badda
PDC-501,DR. NAHID AKTER,,Gynaecology,Kurigram
PDC-502,DR. FEROJA BANU SHERIN,,Gynaecology,Bogura
PDC-503,DR. ROMENA AFROJ,Consultant,Gynaecology,Uttara
PDC-504,DR. TAHMINA DEWAN,,Gynaecology,Chattogram
PDC-505,DR. FAZILATUNNESA KUSUM,,Gynaecology,Badda
PDC-506,DR. SALMA AKTHER (LAIZU),"MBBS (DU), BCS(Health), DGO (BSMMU), MCPS (Gynae & Obs), FCPS (Gynae & Obs), Consultant (Gynae). Mymensingh Medical College Hospital.",Gynaecology,Mymensingh
PDC-507,DR. SUMONA AFRIN,,Gynaecology,Kushtia
PDC-508,DR. FARZANA AKTER,,Gynaecology,English road
PDC-509,DR. MST. SURAYA KHATUN,"MBBS (DMC), BCS (Health), FCPS (Obs & Gynae), Mymensingh Medical College & Hospital,Mymensingh.",Gynaecology,Mymensingh
PDC-510,DR. RUBINA AKTER,,Gynaecology,Uttara
PDC-511,ASSO. PROF. DR. FIROZA BEGUM,"MBBS, DGO. MS (Gynae & Obs), Associate Professor Ex (Gynae & Obs), Mymensingh Medical College Hospital",Gynaecology,Mymensingh
PDC-512,DR. ZOBAYDA GULSUN ARA (SWEETY),,Gynaecology,Dinajpur
PDC-513,PROFESSOR. DR. FARZANA SOHAEL,"MBBS,FCPS(Gynae & Obs), Special Fellowship Training in Infertility(Japan), Professor & Head of The Department (Gynaecology).Shaheed Suhrawardy Medical College & Hospital,Dhaka--1207",Gynaecology,Shyamoli
PDC-514,DR. NAZNEEN AHMAD,,Gynaecology,Chattogram
PDC-515,DR. TAHMINA BEGUM,"MBBS; BCS (Health); MCPS (Gaynae & Obs); DGO; Consultent, 250 Bed General Hospital, Noakhali.",Gynaecology,Noakhali
PDC-516,DR. CHHANDA MAJUMDER,"MBBS, FCPS (Gynae & Obs), CCD (BIRDEM), CMU (Ultra), Consultant, Popular Diagnostic Center Ltd.",Gynaecology,Dhanmondi
PDC-517,DR.TASLIMA AKTER,,Gynaecology,Uttara
PDC-518,DR. MOUMITA TRIPURA MUMU,,Gynaecology,Chattogram
PDC-519,PROF. DR. SHIREEN AKHTER KHANAM,,Gynaecology,Chattogram
PDC-520,DR. KHADIJA BEGUM,,Gynaecology,Chattogram
PDC-521,DR. NASIMA BEGUM,,Gynaecology,Chattogram
PDC-522,ASSTT. PROF. DR. NAHID SULTANA,"MBBS,BCS,(Health) Fcps(Obs & Gynae)Gynaecologist Specialist & Surgeon. Assistant Professor (Gynae & Obs) Rajshahi Medical College & Hospital .",Gynaecology,Rajshahi
PDC-523,DR. FATEMA JOAN MUNIA,"MBBS (DMC); BCS (Health); FCPS (Gynae & Obs); Medical Officer, 250 Bed General Hospital, Noakhali.",Gynaecology,Noakhali
PDC-524,DR. SHEIKH TASNUVA ALAM,"MBBS. ( DU), MS (Gynae & Obs) Specialist & Surgeon (Gynae & Obs) Khulna Medical College Hospital",Gynaecology,Khulna
PDC-525,ASSO. PROF. DR. SAHANA RAZZAQUE ALI,"MBBS, MCPS,DGO Laparoscopic Surgeon. Asso. Prof.(Gynae & Obs) (Retirement) Khulna Medical college Hospital, Khulna.",Gynaecology,Khulna
PDC-526,DR. MST. PARUL AKTER,"MBBS, BCS (Health) FCPS (Obs & Gynae) MCPS ( obs & Gynae) Khulna Medical college Hospital. Khulna.",Gynaecology,Khulna
PDC-527,DR. SALMA SULTANA,,Gynaecology,Bogura
PDC-528,DR. TARAFDAR RUNA LAILA,"FCPS, MS ( Gynae & Obs) Gold Medalist, Highly Trained in Infertility (India), Associate Professor, Gynae & Obs Department, Bangabandhu Sheikh Mujib Medical University, Dhaka.",Gynaecology,Dhanmondi
PDC-529,DR.AFREEN KABIR KHEYA,MBBS.FCPS,Gynaecology,English road
PDC-530,DR. MITHEEL -IBNA ISLAM,"MBBS, BCS (Health), DGO, FCPS ( Obs & Gynae) Khulna Medical College Hospital.",Gynaecology,Khulna
PDC-531,ASSO. PROF. DR. SAHANA RAZZAQUE ALI (EVENING),"MBBS, MCPS, DGO, Laparoscopic Surgeon. Asso. Prof.(Gynae & Obs) (Retirement) Khulna Medical college Hospital, Khulna.",Gynaecology,Khulna
PDC-532,PROF. DR. DILRUBA AKTER,"MBBS, FCPS (Gynae), Fellowship-FIGO (Malaysia), Gynae Specialist & Laparoscopic Surgeon. Special Training in Infertility & Hysteroscopy ( Malaysia & London). Director & Head Department of (OBGYN), ICMH, Matuail, Dhaka.",Gynaecology,Dhanmondi
PDC-533,MAJOR. (DR) TAFAZZULA TASNIM,,Gynaecology,Gazipur
PDC-534,DR. SAIMA SULTANA,"MBBS(SSMC & MH), DGO(DMCH), CCD BMDC Reg No:- A-45997",Gynaecology,Narayangonj
PDC-535,DR. T H JOHURA MUNMUN,,Gynaecology,Mirpur
PDC-536,DR. GOPA KUNDU (BONNA),"MBBS(DMC), BCS(Health), FCPS(Obs & Gyane), FCPS(Gynecological Oncology) Consultant Obs & Gyane. Current Posting:-National Institute of Cancer Research & Hospital(NICRH). Mohakhali, Dhaka.","Gynae Oncology, Gynaecology",Narayangonj
PDC-537,DR. ISRAT JAHAN,"MBBS,FCPS (Obs & Gynae),FCPS (Reproductive Endocrinology & Infertility)",Gynaecology,Shantinagar
PDC-538,DR. ZEENAT REHENA JHARNA,,Gynaecology,Chattogram
PDC-539,DR. PARVEEN AKHTER SHAMSUN NAHAR (SUROVI),"MBBS, FCPS (Gynae & Obs), MRCOG 2nd Part (London), Trained in Advanced Gynae-Laparoscopic Surgeon, Urogynaecology & Infertility (India, Singapore). Associate Prof. Dept. of Gynaecology- BSMMU, Dhaka.",Gynaecology,Dhanmondi
PDC-540,ASST. PROF. DR. RIFAT ARA,"MBBS, FCPS(Gynae),,MS(Gynae), FCPS(Oncology), Mohakhali Cancer Hospital, Dhaka.","Gynaecology, Gynae Oncology",Gazipur
PDC-541,PROF. DR. MERINA KHANOM,"MBBS, FCPS (Gynae & Obs), Consultant, Gynae & Obs, Infertility & Gynae Specialist, Ex.- Professor, Dhaka Medical College & Hospital, Popular Diagnostic Center, Dhanmondi, Dhaka.",Gynaecology,Dhanmondi
PDC-542,ASSO. PROF. DR. JUTHI BHOWMIK,"MBBS, FCPS (Gynae & Obs) (Institute for Women and Child Health)",Gynaecology,Shantinagar
PDC-543,DR. BENJIR HAQUE PANNA,"MBBS, DGO (BSMMU), FCPS (Obs & Gynae), FMAS (India), Obs & Gynae Specialist & Laparoscopic Surgeon, Assistant Professor, Obs & Gynae Department, Popular Medical College & Hospital, Dhaka.",Gynaecology,Dhanmondi
PDC-544,ASSO. PROF. DR. MASUDA ISLAM KHAN,,Gynaecology,Mirpur
PDC-545,DR. SHAFIA AFRIN,MBBS.BCS(Health) FCPS ( Obs & Gynae ) Consultant Department of Gynaecology. Mugda Medical College & hospital .Dhaka,Gynaecology,Shyamoli
PDC-546,DR. DILARA PARVIN (DIPA),,Gynaecology,Chattogram
PDC-547,PROF. DR. SABINA HUSEIN,,Gynaecology,Mirpur
PDC-548,DR. FARJANA AFROSE (REMU),,Gynaecology,Shyamoli
PDC-549,DR PRATIMA RANI TRIPURA,,Gynaecology,Chattogram
PDC-550,DR. MST.KAMRUN NAHAR RIKTA,,Gynaecology,Kushtia
PDC-551,DR. ISRAT SHARMIN BARNA,,Gynaecology,Barisal
PDC-552,DR. SHAHANA PARVIN (RITU),"MBBS.BCS (Health), FCPS (Gynae & Obs), Consultant , Popular Diagnostic Centre Ltd",Gynaecology,Rajshahi
PDC-553,DR. SABRINA ISLAM,"MBBS(CMC), BCS(Health),FCPS(Gyne and Obs), Chattogram Medical College Hospital",Gynaecology,Chattogram
PDC-554,DR. INDRANI NAG,,Gynaecology,Badda
PDC-555,PROF. DR. SHAHI FARZANA TASMIN,"MBBS, FCPS (Gynaeclolgy) Ex. Prof. of Gynaeclolgy. Rangpur Medical College Hospital.",Gynaecology,Dhanmondi
PDC-556,ASSOT. PROF. DR. SABINA PARVEEN,,Gynaecology,Badda
PDC-557,DR. NAHIDA NAZNIN,"MBBS, FCPS, MCPS, MS (Gynae), Diploma in Obs & Gynae, MPH Dhaka, Trained Infertility & Laparoscopic Surgery. Gynaecologist & Director -Azimpur Maternity Hospital, Dhaka.",Gynaecology,Dhanmondi
PDC-558,DR. NAZIA AHMED,,Gynaecology,Badda
PDC-559,PROF. DR. SHAHI FARZANA TASMIN (MORNING),Professor,Gynaecology,Rangpur
PDC-560,DR.MAFRUHA TAZKIN MILKY,,Gynaecology,Savar
PDC-561,DR. MUSFIQA IFFAT (LABONI),"MBBS, BCS, FCPS (Obs & Gynae) Consultant (Gynae & Obs) Khulna Medical College Hospital, Khulna. BMDC Reg. No- A-42900.",Gynaecology,Khulna
PDC-562,DR. FARZANA AKTER BITHI,,Gynaecology,Chattogram
PDC-563,ASSTT. PROF. DR. SALMA ARJUMAND BANU,"MBBS, DGO, MCPS(Gyne), Assistant Professor Gynaeologist (Rtd)& Surgeon , Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-564,DR. PRIYANKA WADDADER,,Gynaecology,Chattogram
PDC-565,DR. RAWSHAN AKHTAR (BIPLOBI),"MBBS, BCS (Health) MS (Gynae & Obs)Assistant Professor, Derpartmant of Gynae & Obs, Rajshahi Medical College Hospital",Gynaecology,Rajshahi
PDC-566,DR. FARJANA BASHER SHILPI,,Gynaecology,Chattogram
PDC-567,DR. JEBUNNESA ANI,"MBBS, BCS, MCPS, FCPS (Gyne & Obs) , Consultant, Gynecology and Obstetrics Specialist and Laparoscopic & Hysteroscopic Surgeon, Rajshahi Medical College Hospital, Rajshahi",Gynaecology,Rajshahi
PDC-568,ASSO. PROF. DR. PARUL AKHTAR,"MBBS,FCPS (Sir Salimullah Medical College & Mitford Hospital)",Gynaecology,Shantinagar
PDC-569,PROF. DR. DILRUBA AKHTER,MBBS. FCPS(Gynae). Fellow Ship-Figo(Malaysia). Director & Professor Head Institute Of Child & Mothers Health. Matuail,Gynaecology,Jatrabari
PDC-570,ASST. PROF. DR. MUNIRUNNESA SHILPY,"MBBS. FCPS(Gynae). Assistant Professor, Sir Salimullah medical College & Hospital",Gynaecology,Jatrabari
PDC-571,ASST. PROF. MAJOR. DR. HAFSA KABIR KAKON,MBBS. FCPS(Gynae). Assistant Professor. CMH Hospital Dhaka,Gynaecology,Jatrabari
PDC-572,DR. NASIMA AKHTER,MBBS. FCPS(Gynae). DGO (Gynae). MS ( Gynae) Sheikh Mujib Medical College University,Gynaecology,Jatrabari
PDC-573,DR. RABEYA BEGUM,MBBS.BCS.FCPS(Gynae). MCPS( Gynae) Sir Salimullah Medical College & hospital,Gynaecology,Jatrabari
PDC-574,DR. KAZI SHAMIM ARA SWEETY,MBBS. FCPS ( Endocrinology Infertility) . FCPS(Gynae) .Sheikh Mujib Medical University,Gynaecology,Jatrabari
PDC-575,DR. TAHMINA KHAN SHAMMI,MBBS.FCPS(Gynae). FCPS ( Gynae Oncology) . DMU ( Ultrasonography) Dhaka Medical College Hospital,Gynaecology,Jatrabari
PDC-576,DR. ALIF LAILA LILY,"MBBS. DGO ( Gynae). FCPS(Gynae) . Senior Consultant, Dhaka Medical College Hospital",Gynaecology,Jatrabari
PDC-577,DR. LIPIKA CHOWDHURY,,Gynaecology,Chattogram
PDC-578,DR. MORZINA KHATUN (MUKTI),"MBBS.BCS(Health)FCPS,Consultant, Laparoscopic & Hysteroscopic Surgeon Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-579,DR. AFROZA SULTANA (MORNING),,Gynaecology,Mirpur
PDC-580,DR. FAIRUJ PERVIN TANIA,"MBBS, BCS (Health), FCPS (Obs&Gynae) ,Consultant, Gynae & Obs, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-581,ASST. PROF. DR. SHAMSOON NAHAR(EVENING),,Gynaecology,Uttara
PDC-582,DR. AMITUNNESHA SHIKHA,"MBBS. MS ( Obs & Gynae) . BCS , Endocrinology Infertility Department Sheikh Mujib Medical College",Gynaecology,Jatrabari
PDC-583,DR. SAYEDA AKTER NIPA,MBBS. FCPS ( Gynae & Orbs ) . CCD ( Birdem) . Dhaka National medical College Hospital,Gynaecology,Jatrabari
PDC-584,ASST. PROF. DR. PARVEN AKTER PARUL,MBBS. BCS. FCPS ( Obs & Gynae ). Assistant Professor At Mughda Medical College Hospital,Gynaecology,Jatrabari
PDC-585,DR. MANJILA MAFRAUHA KHANUM (QUEEN),"MBBS, BCS (Health) FCPS (Gynaecology & Obs), Consultant, Gynae & Obs, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-586,DR. MAJOR (RETD) ASHRULATA ROY,MBBS. FCPS ( Gynae & Obs) Obstetrician & Gynecologists' Surgeon. CMH,Gynaecology,Jatrabari
PDC-587,DR. MOSIUR RAHMAN,,Gynaecology,Barisal
PDC-588,DR. FARZANA HAMID (ETI),"MBBS, BCS (Helth), MS (Obs & Gynae) Consultant (Gynae) Dept. of Fetomaternal Medicine Bangabandhu Sheikh Mujib Medical University (Ex.PG Hospital)",Gynaecology,Dhanmondi
PDC-589,PROF.DR. NAZNIN RASHID SHEWLY,,Gynaecology,Savar
PDC-590,DR. NASRIN BEGUM (DOTY),"MBBS, DGO, (DU) , Assistant Professor Department Of Gynecology , Islami Bank Medical Collage & Hospital",Gynaecology,Rajshahi
PDC-591,DR. SHAHANAZ AKTER,"MBBS FCPS MS(Obst & Gynee) Kurmitola Genarel Hospital, Dhaka",Gynaecology,Badda
PDC-592,DR. AYESHA TASNEEM,,Gynaecology,Chattogram
PDC-593,DR. JANNATUL FERDOUSE (SAKI),"MBBS (CU); DGO (Gynae & Obs), Popular Diagnostic Centre Ltd. Noakhali Branch.",Gynaecology,Noakhali
PDC-594,PROF. DR. SAKTI DAS,"MBBS, DGO,FCPS,MS (Gyne) Ex-Professor & Dept Head. Sir Salimuallah Medical College Hospital. Mitford,Dhaka.",Gynaecology,Jatrabari
